table,section,field,type,required,key_type,linked_with,ui_runtime_usage,source,status,notes
source_retrieval_embeddings,Identity & Relationship Keys,content_unit_id,text,No,,source_retrieval_data.chunk_id,Single content-unit pointer,V1 shared schema,Optional,Nullable because document and section summary embeddings can cover multiple units.
source_retrieval_embeddings,Identity & Relationship Keys,content_unit_ids,jsonb,Yes,FK list,source_retrieval_data.chunk_id,Multi-content-unit join,V1 shared schema,Required,JSON array used in v1 lateral join to source_retrieval_data.chunk_id.
source_retrieval_embeddings,Identity & Relationship Keys,chunk_id,text,No,,source_retrieval_data.chunk_id,Optional direct chunk pointer,V1 shared schema,Optional,V1 carries this when the embedding maps to a single chunk.
source_retrieval_embeddings,Identity & Relationship Keys,section_id,text,No,,,Section-level embedding pointer,V1 shared schema,Optional,Used for section_summary embeddings.
source_retrieval_embeddings,Period & Availability,fiscal_year,text,Yes,,source_retrieval_data.fiscal_year,Optional context and retrieval filter,V1 shared schema,Required,V1 stores fiscal_year as text.
source_retrieval_embeddings,Period & Availability,quarter,text,Yes,,source_retrieval_data.quarter,Optional context and retrieval filter,V1 shared schema,Required,V1 stores quarter as text.
source_retrieval_embeddings,Period & Availability,bank_ticker,text,Yes,FK,monitored_institutions.bank_ticker; source_retrieval_data.bank_ticker,Optional context and retrieval filter,V1 shared schema,Required,Standardized from v1 bank.
source_retrieval_embeddings,Storage & Content,file_name,text,Yes,,,Viewer citation title,V1 shared schema,Required,Standardized from v1 filename.
source_retrieval_embeddings,Storage & Content,file_type,text,Yes,,,Viewer citation and parser routing,V1 shared schema,Required,Source file type such as pdf xlsx or xml.
source_retrieval_embeddings,Storage & Content,file_path,text,Yes,,,Source file location,V1 shared schema,Required,Path to source file in the configured document store.
source_retrieval_embeddings,Storage & Content,file_hash,text,Yes,,source_retrieval_data.file_hash,Ingest integrity and dedupe,V1 shared schema,Required,Hash of the source file.
source_retrieval_embeddings,Storage & Content,embedding_type,text,Yes,,,Retrieval strategy and ranking,V1 shared schema,Required,V1 values include content keyword metric section_summary and document_summary.
source_retrieval_embeddings,Storage & Content,embedding_scope,text,Yes,,,Retrieval scope,V1 shared schema,Required,V1 values include content_unit section and document.
source_retrieval_embeddings,Storage & Content,embedding_text,text,Yes,,,Vector input text and debug preview,V1 shared schema,Required,Text used to produce the embedding vector.
source_retrieval_embeddings,Storage & Content,text_hash,text,No,,,Embedding dedupe and cache key,V1 shared schema,Optional,Hash of embedding_text.
source_retrieval_embeddings,Storage & Content,embedding,vector(3072),No,,,Semantic retrieval,V1 shared schema,Optional,V1 DDL allows null but retrieval requires non-null vectors for searchable rows.
source_retrieval_embeddings,Storage & Content,embedding_model,text,Yes,,,Embedding provenance,V1 shared schema,Required,Model used to produce embedding.
source_retrieval_embeddings,Storage & Content,embedding_dimensions,integer,Yes,,,Embedding validation,V1 shared schema,Required,V1 default dimension is 3072.
source_retrieval_embeddings,State & Audit,created_at,timestamptz,Yes,,,Ingest lineage,V1 shared schema,Required,V1 embeddings table requires created_at.
